File Types,Documentation(median),Documentation(MB),,MLOps/ AIOps(median),MLOps/ AIOps(MB),,Application System(median),Application System(MB),,DL Framwork(median),DL Framwork(MB),,Toolkit(median),Toolkit(MB),,Model(median),Model(MB),
EOL,3820.0,3.73,,27366.0,26.72,,2330.0,2.28,,3045.0,2.97,,61216.0,59.78,,483.0,483.0,
Others,0.0,0,,4236.0,4.14,,42205.0,41.22,,263774.0,257.59,,230699888.0,220.01,,220.0,220.0,
Model,12165719.0,11.6,,1019620.0,995.72,,409635.0,400.03,,2261.0,2.21,,25944.5,25.34,,543.0,543.0,
Script/Source,0.0,0,,5458.0,5.33,,5160.0,5.04,,13.0,13.0,,10591.0,10.34,,238.0,238.0,
PEP,57.0,57.0,,378.0,378.0,,0.0,0,,28568.0,27.9,,566.0,566.0,,522765.0,510.51,
Archival DOC,0.0,0,,15532.0,15.17,,40608.0,39.66,,210.0,210.0,,712.0,712.0,,17942.0,17.52,
Image,66384.0,64.83,,1876.0,1.83,,22.0,22.0,,33.0,33.0,,162.0,162.0,,69792.0,68.16,
Documents,381.0,381.0,,5294.0,5.17,,0.0,0,,4105.0,4.01,,101475.0,99.1,,8150.0,7.96,
Data/Database,1080.0,1.05,,1213.0,1.18,,1226.0,1.2,,1198.0,1.17,,1238.0,1.21,,1377.0,1.34,
Security,241960.0,236.29,,0.0,0,,217310.0,212.22,,234416.0,228.92,,58426.0,57.06,,680608.0,664.66,
Audio Doc,78.0,78.0,,1584.0,1.55,,255.0,255.0,,154870.0,151.24,,1584.0,1.55,,6188.0,6.04,
Git DOC,337.0,337.0,,560.5,560.5,,358.0,358.0,,574.0,574.0,,497.5,497.5,,367.0,367.0,
Makefile,3466.0,3.38,,1370.0,1.34,,1836.0,1.79,,1832.0,1.79,,996.0,996.0,,3466.0,3.38,
Web Service,68608.0,67.0,,11004.0,10.75,,145.0,145.0,,13770.0,13.45,,1896.0,1.85,,539018.0,526.38,
Caching,90892.0,88.76,,0.0,0,,1129791.0,1.08,,13963.0,13.64,,81.0,81.0,,46408.0,45.32,
