Category,image,metrics,layer_size
Application System,px4io/px4-dev-armhf,FLS,3.34
Application System,px4io/px4-dev-simulation-bionic,FLS,4.9
Application System,px4io/px4-dev-clang,FLS,4.31
Application System,px4io/px4-dev-nuttx-focal,FLS,3.79
Application System,px4io/px4-dev-aarch64,FLS,3.36
Application System,px4io/px4-dev-aarch64,CLS,886.4
Application System,px4io/px4-dev-aarch64,CLS,997.87
Application System,px4io/px4-dev-aarch64,CLS,999.3
Application System,px4io/px4-dev-aarch64,CLS,862.46
Application System,px4io/px4-dev-aarch64,CLS,1.1
Application System,apolloauto/apollo,FLS,19.04
Application System,apolloauto/apollo,CLS,6.48
Application System,commaai/openpilot-apks,FLS,6.01
Application System,commaai/openpilot-apks,CLS,2.18
Application System,flyandi/docker-inav,FLS,1.36
Application System,flyandi/docker-inav,CLS,407.49
Application System,huaweinoah/smarts,FLS,5.79
Application System,huaweinoah/smarts,CLS,2.14
Application System,araffin/racing-robot-cpu,FLS,4.55
Application System,araffin/racing-robot-rpi3-base,FLS,1.67
Application System,araffin/racing-robot-rpi3,FLS,4.26
Application System,araffin/racing-robot-rpi3,CLS,1.17
Application System,araffin/racing-robot-rpi3,CLS,560.26
Application System,araffin/racing-robot-rpi3,CLS,1.59
Application System,paparazziuav/pprz-dep,FLS,3.62
Application System,paparazziuav/pprz-ci,FLS,6.39
Application System,paparazziuav/pprz-dev,FLS,3.69
Application System,paparazziuav/pprz-dev,CLS,843.9
Application System,paparazziuav/pprz-dev,CLS,1.44
Application System,paparazziuav/pprz-dev,CLS,861.38
Application System,ardupilot/ardupilot-dev-chibios,FLS,2.23
Application System,ardupilot/ardupilot-dev-periph,FLS,1.32
Application System,ardupilot/ardupilot-dev-clang,FLS,1.67
Application System,ardupilot/ardupilot-dev-aarch64,FLS,1.38
Application System,ardupilot/ardupilot-dev-armhf-musl,FLS,1.69
Application System,ardupilot/ardupilot-dev-coverage,FLS,1.19
Application System,ardupilot/ardupilot-dev-armhf,FLS,1.34
Application System,ardupilot/ardupilot-dev-chibios-py2,FLS,2.25
Application System,ardupilot/ardupilot-dev-base,FLS,1.18
Application System,ardupilot/ardupilot-dev-bloaty,FLS,2.88
Application System,ardupilot/ardupilot-dev-bloaty,CLS,270.03
Application System,ardupilot/ardupilot-dev-bloaty,CLS,454.28
Application System,ardupilot/ardupilot-dev-bloaty,CLS,208.63
Application System,ardupilot/ardupilot-dev-bloaty,CLS,253.63
Application System,ardupilot/ardupilot-dev-bloaty,CLS,353.44
Application System,ardupilot/ardupilot-dev-bloaty,CLS,211.22
Application System,ardupilot/ardupilot-dev-bloaty,CLS,459.79
Application System,ardupilot/ardupilot-dev-bloaty,CLS,604.1
Application System,ardupilot/ardupilot-dev-bloaty,CLS,258.34
Application System,ardupilot/ardupilot-dev-bloaty,CLS,244.62
Application System,gaas/mavros-gazebo7-px4,FLS,9.9
Application System,gaas/mavros-gazebo7-px4,CLS,2.38
Application System,juhaoming/sustechpoints,FLS,3.06
Application System,juhaoming/sustechpoints,CLS,1.36
Toolkit,optuna/optuna,FLS,6.23
Toolkit,optuna/optuna,CLS,1.73
Toolkit,climbsrocks/auto_ml,FLS,256.0
Toolkit,climbsrocks/auto_ml_tests,FLS,256.0
Toolkit,climbsrocks/auto_ml_tests,CLS,582.42
Toolkit,climbsrocks/auto_ml_tests,CLS,546.6
Toolkit,nidhaloff/igel,FLS,1.8
Toolkit,nidhaloff/igel,CLS,497.84
Toolkit,funkey/gunpowder,FLS,5.41
Toolkit,funkey/gunpowder,CLS,1.66
Toolkit,mlbazaar/autobazaar,FLS,3.15
Toolkit,mlbazaar/autobazaar,CLS,1.15
Toolkit,deepset/farm-inference-ui,FLS,157.08
Toolkit,deepset/farm-gpu-electra,FLS,3.73
Toolkit,deepset/farm-onnxruntime-gpu,FLS,9.62
Toolkit,deepset/farm-onnx,FLS,12.06
Toolkit,deepset/farm-gpu,FLS,3.73
Toolkit,deepset/farm-inference-api,FLS,4.18
Toolkit,deepset/farm-inference-api,CLS,2.03
Toolkit,deepset/farm-inference-api,CLS,39.39
Toolkit,deepset/farm-inference-api,CLS,1.94
Toolkit,deepset/farm-inference-api,CLS,6.86
Toolkit,deepset/farm-inference-api,CLS,1.92
Toolkit,deepset/farm-inference-api,CLS,4.64
Toolkit,ppalmes/automlpipeline,FLS,2.46
Toolkit,ppalmes/automlpipeline,CLS,536.94
Toolkit,automlorg/autopytorch,FLS,6.02
Toolkit,automlorg/autopytorch,CLS,2.78
