Category,file_type,perc_size
Model,ELF/COFF,73.9824
Model,ELF/COFF,0.0024
Model,59289d1622a57731acff6181861325e771dee7a4ec15a9b349cab9fe,21.9458
Model,e0e10909911e0df1655a24b1bd415152da29e54deb70bf12a8f4f769,14.6806
Model,Git,9.7723
Model,Git,2.6607
Model,Git,3.1412
Model,Ubuntu,7.6775
Model,Ubuntu,0.7289
Model,Ubuntu,2.8306
Model,.a,3.5804
Model,.a,0.0
Model,.a,10.8172
Model,.a,0.0901
Model,cc1,0.0
Model,cc1,1.3745
Model,cc1,10.7187
Model,cc1,0.8751
Model,cc1,0.5258
Model,6m,2.0603
Model,Js,3.5263
Model,Js,0.4323
Model,PEP,6.5723
Model,PEP,0.0191
Model,PEP,0.0156
Model,PEP,0.0108
Model,PEP,0.0104
Model,PEP,0.0191
Model,PEP,0.0156
Model,PEP,0.0152
Model,PEP,0.0108
Model,PEP,0.0104
Model,PEP,0.0
Model,PEP,10.9561
Model,PEP,0.1266
Model,PEP,0.0938
Model,PEP,0.0611
Model,PEP,0.0603
Model,PEP,0.0516
Model,PEP,0.0278
Model,PEP,0.0208
Model,PEP,3.5347
Model,PEP,0.9157
Model,PEP,0.1114
Model,PEP,0.0003
Model,Java,0.2166
Model,Java,1.2656
Model,Java,0.3703
Model,cicc,0.8769
Model,cicc,0.3352
Model,Model/ Weight,0.5189
Model,gcc,0.1025
Model,gcc,0.1025
Model,gcc,0.0
Model,gcc,0.0
Model,gcc,0.3331
Model,gcc,0.014
Model,gcc,0.009
Model,gcc,0.6362
Model,gcc,0.0257
Model,gcc,4.943
Model,gcc,0.2007
Model,gcc,0.1287
Model,gcc,0.2338
Model,gcc,0.1945
Model,.net,0.4306
MLOps/ AIOps,manager,94.4512
MLOps/ AIOps,Model/ Weight,0.0035
MLOps/ AIOps,Model/ Weight,25.4704
MLOps/ AIOps,Model/ Weight,2.0739
MLOps/ AIOps,Model/ Weight,81.8228
MLOps/ AIOps,Model/ Weight,0.705
MLOps/ AIOps,kubectl,3.5983
MLOps/ AIOps,kubectl,0.2708
MLOps/ AIOps,kubectl,59.659
MLOps/ AIOps,ELF/COFF,2.0759
MLOps/ AIOps,ELF/COFF,0.3321
MLOps/ AIOps,ELF/COFF,0.152
MLOps/ AIOps,ELF/COFF,0.0381
MLOps/ AIOps,ELF/COFF,56.9639
MLOps/ AIOps,ELF/COFF,37.9995
MLOps/ AIOps,ELF/COFF,32.6127
MLOps/ AIOps,ELF/COFF,1.0891
MLOps/ AIOps,ELF/COFF,13.5402
MLOps/ AIOps,ELF/COFF,50.5695
MLOps/ AIOps,ELF/COFF,28.714
MLOps/ AIOps,ELF/COFF,30.4482
MLOps/ AIOps,ELF/COFF,18.862
MLOps/ AIOps,ELF/COFF,72.7358
MLOps/ AIOps,ELF/COFF,55.1889
MLOps/ AIOps,ELF/COFF,53.1391
MLOps/ AIOps,ELF/COFF,56.2861
MLOps/ AIOps,ELF/COFF,47.1962
MLOps/ AIOps,ELF/COFF,0.2562
MLOps/ AIOps,ELF/COFF,7.145
MLOps/ AIOps,ELF/COFF,3.2383
MLOps/ AIOps,ELF/COFF,2.0941
MLOps/ AIOps,ELF/COFF,1.4389
MLOps/ AIOps,ELF/COFF,0.3495
MLOps/ AIOps,ELF/COFF,0.1726
MLOps/ AIOps,ELF/COFF,0.1256
MLOps/ AIOps,ELF/COFF,0.1088
MLOps/ AIOps,ELF/COFF,0.1064
MLOps/ AIOps,ELF/COFF,0.0706
MLOps/ AIOps,ELF/COFF,0.0705
MLOps/ AIOps,ELF/COFF,0.0703
MLOps/ AIOps,ELF/COFF,0.0429
MLOps/ AIOps,ELF/COFF,0.0498
MLOps/ AIOps,ELF/COFF,0.0058
MLOps/ AIOps,ELF/COFF,4.7327
MLOps/ AIOps,ELF/COFF,3.0911
MLOps/ AIOps,ELF/COFF,2.3451
MLOps/ AIOps,ELF/COFF,0.5453
