Category,Repos,file_type,total_size,total_number,perc_size,perc_num
DL Framwork,keras-team/keras,b3b54877568739e0817d341cab9f6aa491640d876532ba8597820770,1045361006,2,0.0004,0.0007
DL Framwork,keras-team/keras,dea8c4cb59054d227087c3ca585a72de1fdbfb82274f30887323f596,761507470,2,0.0003,0.0007
DL Framwork,keras-team/keras,.a,3109439084,788,0.0011,0.2872
DL Framwork,keras-team/keras,pandoc,503311168,8,0.0002,0.0029
DL Framwork,keras-team/keras,e5f6a18cea7008bf4e001c10642e5b7cb8d4a0a4b434f173a3e6b6e4,50478914,2,0.0,0.0007
DL Framwork,keras-team/keras,lto1,136624064,6,0.0,0.0022
DL Framwork,keras-team/keras,a17b9300e3cb54bdefc9ac1eb8aafb42aed2a7331262614019e144f0,40057680,2,0.0,0.0007
DL Framwork,keras-team/keras,nvdisasm,32399488,2,0.0,0.0007
DL Framwork,keras-team/keras,cicc,32027824,2,0.0,0.0007
DL Framwork,keras-team/keras,Java,27169840,2,0.0,0.0007
DL Framwork,keras-team/keras,nvprof,23627552,2,0.0,0.0007
DL Framwork,keras-team/keras,b6ac3ce42a4170eeb49f07214b5eb3a3bbfc6fb4a2e88af5454a724a,20837512,2,0.0,0.0007
DL Framwork,keras-team/keras,cuda-gdb,20417030,2,0.0,0.0007
DL Framwork,keras-team/keras,.5m.1.2.3,81320584,8,0.0,0.0029
DL Framwork,keras-team/keras,.5m.1,209406680,24,0.0001,0.0087
DL Framwork,keras-team/keras,nvlink,15932928,2,0.0,0.0007
DL Framwork,keras-team/keras,ptxas,15689632,2,0.0,0.0007
DL Framwork,keras-team/keras,cbbd1d2a7032ac159132def71f260a19395042d6628adad160820250,14083262,2,0.0,0.0007
DL Framwork,keras-team/keras,qgltf,21929952,4,0.0,0.0015
DL Framwork,keras-team/keras,Goland,51392400,24,0.0,0.0087
DL Framwork,keras-team/keras,cudafe,9091344,2,0.0,0.0007
DL Framwork,keras-team/keras,cudafe++,8261744,2,0.0,0.0007
DL Framwork,keras-team/keras,1e5151c2c56203f9ac3c89a7b40bdcf61720b48633ba65c2da25fd1a,7641094,2,0.0,0.0007
DL Framwork,keras-team/keras,sqlite3,34236120,12,0.0,0.0044
DL Framwork,keras-team/keras,gold,5833712,2,0.0,0.0007
DL Framwork,keras-team/keras,c501a4b4c0c9366adbe4ce14ddff5e8acbca3a43e8eb33505caba204,5743034,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-linux-gnu-dwp,5449184,2,0.0,0.0007
DL Framwork,keras-team/keras,dwp,5449184,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-dwp,10241984,4,0.0,0.0015
DL Framwork,keras-team/keras,.bfd,24810080,12,0.0,0.0044
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-ld,9964960,4,0.0,0.0015
DL Framwork,keras-team/keras,ld,28768368,14,0.0,0.0051
DL Framwork,keras-team/keras,499f04005e29d5323e699eb5d3da4456e42c4949e15e0d0d3487708a,4806380,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-objdump,8856800,4,0.0,0.0015
DL Framwork,keras-team/keras,objdump,9570320,6,0.0,0.0022
DL Framwork,keras-team/keras,perl5.22.1,3822576,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-as,7441824,4,0.0,0.0015
DL Framwork,keras-team/keras,as,8180784,6,0.0,0.0022
DL Framwork,keras-team/keras,qwebengine_convert_dict,6875328,4,0.0,0.0015
DL Framwork,keras-team/keras,init,3265488,2,0.0,0.0007
DL Framwork,keras-team/keras,systemd,6428434,6,0.0,0.0022
DL Framwork,keras-team/keras,LC_COLLATE,3028844,2,0.0,0.0007
DL Framwork,keras-team/keras,systemd-analyze,2990264,4,0.0,0.0015
DL Framwork,keras-team/keras,0db98e717359d022b1702015ffeac2410bf2d8d59a1d5782fe49b0f0,2803690,2,0.0,0.0007
DL Framwork,keras-team/keras,862fbf2bb3018fbe086054ac9116da8ad424df5048c2d4dbd2140b25,2522736,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-linux-gnu-ld,2440080,2,0.0,0.0007
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-strip,4649440,4,0.0,0.0015
DL Framwork,keras-team/keras,x86_64-conda_cos6-linux-gnu-objcopy,4649440,4,0.0,0.0015
DL Framwork,keras-team/keras,strip,5098320,6,0.0,0.0022
DL Framwork,keras-team/keras,objcopy,5098304,6,0.0,0.0022
DL Framwork,dmlc/xgboost,cache,46725749,1,3.7369,0.0031
DL Framwork,dmlc/xgboost,cache,24253703,1,1.9397,0.0031
DL Framwork,dmlc/xgboost,.a,16676836,1,1.3337,0.0031
DL Framwork,dmlc/xgboost,cache,16628697,1,1.3299,0.0031
DL Framwork,dmlc/xgboost,gcc,12849520,1,1.0276,0.0031
