Category,Repos,file_type,total_size,total_number,perc_size,perc_num
Toolkit,microsoft/LightGBM,.4-243.1.2,214893257,2,3.6044,0.0016
Toolkit,microsoft/LightGBM,.sh,71033025,427,1.1914,0.3352
Toolkit,microsoft/LightGBM,bin,43115328,1,0.7232,0.0008
Toolkit,microsoft/LightGBM,Java,32074596,1,0.538,0.0008
Toolkit,microsoft/LightGBM,gcc,21316032,1,0.3575,0.0008
Toolkit,microsoft/LightGBM,.a,20093016,1,0.337,0.0008
Toolkit,microsoft/LightGBM,/usr/lib/jvm/java-8-openjdk-amd64/lib/ct.sym,17800497,1,0.2986,0.0008
Toolkit,microsoft/LightGBM,Java,17669451,1,0.2964,0.0008
Toolkit,microsoft/LightGBM,/usr/lib/google-cloud-sdk/platform/google_appengine/goroot-1.9/pkg/tool/linux_amd64/compile,11388440,1,0.191,0.0008
Toolkit,microsoft/LightGBM,cbt,21367440,2,0.3584,0.0016
Toolkit,microsoft/LightGBM,Java,241258712,158,4.0466,0.124
Toolkit,microsoft/LightGBM,/usr/lib/google-cloud-sdk/platform/bigtable-emulator/cbtemulator,9430280,1,0.1582,0.0008
Toolkit,microsoft/LightGBM,Java,7294941,1,0.1224,0.0008
Toolkit,microsoft/LightGBM,ctest,6165106,3,0.1034,0.0024
Toolkit,microsoft/LightGBM,/usr/lib/google-cloud-sdk/platform/google_appengine/go-app-stager,5480672,1,0.0919,0.0008
Toolkit,microsoft/LightGBM,.q,11786745,6,0.1977,0.0047
Toolkit,microsoft/LightGBM,cpack,5170220,3,0.0867,0.0024
Toolkit,microsoft/LightGBM,.mgc,14652336,3,0.2458,0.0024
Toolkit,microsoft/LightGBM,bin,4751184,1,0.0797,0.0008
Toolkit,microsoft/LightGBM,watch,4169208,2,0.0699,0.0016
Toolkit,microsoft/LightGBM,/usr/share/icons/Adwaita/cursors/08e8e1c95fe2fc01f976f1e063a24ccd,4146256,1,0.0695,0.0008
Toolkit,microsoft/LightGBM,/usr/share/icons/Adwaita/cursors/wait,4146256,1,0.0695,0.0008
Toolkit,microsoft/LightGBM,/usr/share/icons/Adwaita/cursors/3ecb610c1bf2410f44200f48c40d3599,4146256,1,0.0695,0.0008
Toolkit,microsoft/LightGBM,/usr/share/icons/Adwaita/cursors/left_ptr_watch,4146256,1,0.0695,0.0008
Toolkit,microsoft/LightGBM,/usr/share/icons/Adwaita/cursors/progress,4146256,1,0.0695,0.0008
Toolkit,microsoft/LightGBM,cover,6869712,2,0.1152,0.0016
Toolkit,microsoft/LightGBM,Goland,42164045,3523,0.7072,2.7656
Toolkit,microsoft/LightGBM,bin,3109336,1,0.0522,0.0008
Toolkit,microsoft/LightGBM,bin,3011208,1,0.0505,0.0008
Toolkit,microsoft/LightGBM,bin,2884312,1,0.0484,0.0008
Toolkit,microsoft/LightGBM,bin,2884312,1,0.0484,0.0008
Toolkit,microsoft/LightGBM,.jsp,2798791,1,0.0469,0.0008
Toolkit,microsoft/LightGBM,/usr/lib/google-cloud-sdk/platform/google_appengine/goroot-1.9/pkg/tool/linux_amd64/asm,2779344,1,0.0466,0.0008
Toolkit,microsoft/LightGBM,/usr/lib/google-cloud-sdk/platform/google_appengine/goroot-1.9/pkg/tool/linux_amd64/cgo,2772424,1,0.0465,0.0008
Toolkit,microsoft/LightGBM,lightgbm,5249344,2,0.088,0.0016
Toolkit,microsoft/LightGBM,ld,10621752,5,0.1782,0.0039
Toolkit,microsoft/LightGBM,bin,2021960,1,0.0339,0.0008
Toolkit,microsoft/LightGBM,/usr/lib/locale/C.UTF-8/LC_COLLATE,1515838,1,0.0254,0.0008
Toolkit,microsoft/LightGBM,sqlite3,2777696,2,0.0466,0.0016
Toolkit,microsoft/LightGBM,.bfd,2529936,2,0.0424,0.0016
Toolkit,microsoft/LightGBM,bin,1264968,1,0.0212,0.0008
Toolkit,microsoft/LightGBM,.train,7453036,5,0.125,0.0039
Toolkit,microsoft/LightGBM,bash,1099366,3,0.0184,0.0024
Toolkit,microsoft/LightGBM,bin,1099016,1,0.0184,0.0008
Toolkit,microsoft/LightGBM,Data/ DB,980597,1,0.0164,0.0008
Toolkit,microsoft/LightGBM,cpp-6,953149,2,0.016,0.0016
Toolkit,microsoft/LightGBM,g++-6,953149,2,0.016,0.0016
Toolkit,microsoft/LightGBM,g++,953147,3,0.016,0.0024
Toolkit,microsoft/LightGBM,bin,953112,1,0.016,0.0008
Toolkit,microsoft/LightGBM,bin,953112,1,0.016,0.0008
Toolkit,JaidedAI/EasyOCR,Git,133408635,1,1.0073,0.0018
