Category,Repos,file_type,total_size,total_number,perc_size,perc_num
MLOps/ AIOps,kubeflow/kubeflow,lib,24105064,1,1.3754,0.0026
MLOps/ AIOps,kubeflow/kubeflow,cache,15701760,1,0.8959,0.0026
MLOps/ AIOps,kubeflow/kubeflow,.mgc,16084752,3,0.9178,0.0077
MLOps/ AIOps,kubeflow/kubeflow,/chatbot/cmd/jwt/jwt,4134351,1,0.2359,0.0026
MLOps/ AIOps,kubeflow/kubeflow,cache,3673437,1,0.2096,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,3113472,1,0.1777,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,3113472,1,0.1777,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,2876160,1,0.1641,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,2876160,1,0.1641,0.0026
MLOps/ AIOps,kubeflow/kubeflow,DOC,2839680,1,0.162,0.0026
MLOps/ AIOps,kubeflow/kubeflow,.Q16.1.2,4014280,2,0.2291,0.0052
MLOps/ AIOps,kubeflow/kubeflow,DOC,2024814,1,0.1155,0.0026
MLOps/ AIOps,kubeflow/kubeflow,DOC,1811093,1,0.1033,0.0026
MLOps/ AIOps,kubeflow/kubeflow,ld,6683536,3,0.3814,0.0077
MLOps/ AIOps,kubeflow/kubeflow,.bfd,3570064,2,0.2037,0.0052
MLOps/ AIOps,kubeflow/kubeflow,bin,1785032,1,0.1019,0.0026
MLOps/ AIOps,kubeflow/kubeflow,lib,1517626,1,0.0866,0.0026
MLOps/ AIOps,kubeflow/kubeflow,.Q16.1.2.3.4,4014280,2,0.2291,0.0052
MLOps/ AIOps,kubeflow/kubeflow,bash,1169126,3,0.0667,0.0077
MLOps/ AIOps,kubeflow/kubeflow,bin,1168776,1,0.0667,0.0026
MLOps/ AIOps,kubeflow/kubeflow,lib,975152,1,0.0556,0.0026
MLOps/ AIOps,kubeflow/kubeflow,ldconfig,909105,2,0.0519,0.0052
MLOps/ AIOps,kubeflow/kubeflow,bin,893880,1,0.051,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,893880,1,0.051,0.0026
MLOps/ AIOps,kubeflow/kubeflow,rlogin,774662,3,0.0442,0.0077
MLOps/ AIOps,kubeflow/kubeflow,Ssh/OpenSSh,3836692,18,0.2189,0.0464
MLOps/ AIOps,kubeflow/kubeflow,bin,727848,1,0.0415,0.0026
MLOps/ AIOps,kubeflow/kubeflow,.a,153761918,159,8.7736,0.4095
MLOps/ AIOps,kubeflow/kubeflow,lib,602328,1,0.0344,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,597056,1,0.0341,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,597056,1,0.0341,0.0026
MLOps/ AIOps,kubeflow/kubeflow,ip,584392,2,0.0333,0.0052
MLOps/ AIOps,kubeflow/kubeflow,lib,579256,1,0.0331,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,566840,1,0.0323,0.0026
MLOps/ AIOps,kubeflow/kubeflow,tc,549823,2,0.0314,0.0052
MLOps/ AIOps,kubeflow/kubeflow,cache,504320,1,0.0288,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,466496,1,0.0266,0.0026
MLOps/ AIOps,kubeflow/kubeflow,lib,462378,1,0.0264,0.0026
MLOps/ AIOps,kubeflow/kubeflow,lib,458240,1,0.0261,0.0026
MLOps/ AIOps,kubeflow/kubeflow,tar,445887,2,0.0254,0.0052
MLOps/ AIOps,kubeflow/kubeflow,.djvu,1724003,6,0.0984,0.0155
MLOps/ AIOps,kubeflow/kubeflow,cache,427994,1,0.0244,0.0026
MLOps/ AIOps,kubeflow/kubeflow,.eot,1214284,4,0.0693,0.0103
MLOps/ AIOps,kubeflow/kubeflow,Font,4084812,10,0.2331,0.0258
MLOps/ AIOps,kubeflow/kubeflow,bin,353848,1,0.0202,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,353848,1,0.0202,0.0026
MLOps/ AIOps,kubeflow/kubeflow,lib,344740,1,0.0197,0.0026
MLOps/ AIOps,kubeflow/kubeflow,svn,386947,2,0.0221,0.0052
MLOps/ AIOps,kubeflow/kubeflow,/sbin/e2fsck,322400,1,0.0184,0.0026
MLOps/ AIOps,kubeflow/kubeflow,bin,315904,1,0.018,0.0026
MLOps/ AIOps,tensorflow/tfjs,lto1,48210128,2,0.9936,0.0018
MLOps/ AIOps,tensorflow/tfjs,.ttc,43937276,4,0.9055,0.0036
MLOps/ AIOps,tensorflow/tfjs,b618250219c3ed34621d0e92cfae9f66b376ad5e6cd7f00178cb7688044c0ae4a96f19ef9985ca10db110e08f40606becd07b00eeabc13f20468ce200756,20877314,2,0.4303,0.0018
MLOps/ AIOps,tensorflow/tfjs,.es2017.1.2,30131176,28,0.621,0.0252
MLOps/ AIOps,tensorflow/tfjs,932f6236f6f5948ae15c4095cdc9ac961586a0c11f9221f6dec7ca798e361a0861c6c04e4641cac7fa78280a0299c66e6d74cbd826c24f9e28763377d8cd,10727528,2,0.2211,0.0018
MLOps/ AIOps,tensorflow/tfjs,.mgc,32169504,6,0.663,0.0054
MLOps/ AIOps,tensorflow/tfjs,8b702890065e0acdae660db59b7fc4125814d6de5ed20e31a143330ed484ed41ab47cf192e1c61dc278093509bcd03426629fe102563af945a849b1c322d,9233842,2,0.1903,0.0018
MLOps/ AIOps,tensorflow/tfjs,cns11643_stroke,9046736,2,0.1864,0.0018
MLOps/ AIOps,tensorflow/tfjs,.es2017.1,15735922,14,0.3243,0.0126
MLOps/ AIOps,tensorflow/tfjs,.fesm.1,14520016,14,0.2992,0.0126
MLOps/ AIOps,tensorflow/tfjs,locale-archive,6493664,2,0.1338,0.0018
MLOps/ AIOps,tensorflow/tfjs,gold,6226944,2,0.1283,0.0018
MLOps/ AIOps,tensorflow/tfjs,x86_64-linux-gnu-gold,6226944,2,0.1283,0.0018
MLOps/ AIOps,tensorflow/tfjs,ad5dbae33d3cb27b7a2821df4695c343c2720cb2465aad4a4d210e60ff378848b7f0110a2eb40fd4a8917e1f3b841e018cb1616499a3b7c4a553ed432976,5803990,2,0.1196,0.0018
MLOps/ AIOps,tensorflow/tfjs,x86_64-linux-gnu-dwp,5752320,2,0.1186,0.0018
MLOps/ AIOps,tensorflow/tfjs,dwp,5752320,2,0.1186,0.0018
MLOps/ AIOps,tensorflow/tfjs,.basic,5408720,2,0.1115,0.0018
MLOps/ AIOps,tensorflow/tfjs,systemd-networkd,3638224,2,0.075,0.0018
MLOps/ AIOps,tensorflow/tfjs,ld,13367072,6,0.2755,0.0054
MLOps/ AIOps,tensorflow/tfjs,.bfd,7140128,4,0.1472,0.0036
MLOps/ AIOps,tensorflow/tfjs,x86_64-linux-gnu-ld,3570064,2,0.0736,0.0018
MLOps/ AIOps,tensorflow/tfjs,f0378c9e95e3e198ef68adc4ffc3318c22ec9e76b32956d834161c6957a050bb4f9367fb62dd6e0a6fdec6589b281ca5cca229e0f529e2a0a7d59c15ba87,3347216,2,0.069,0.0018
MLOps/ AIOps,tensorflow/tfjs,init,3265488,2,0.0673,0.0018
MLOps/ AIOps,tensorflow/tfjs,systemd,6244494,8,0.1287,0.0072
MLOps/ AIOps,tensorflow/tfjs,LC_COLLATE,3035252,2,0.0626,0.0018
MLOps/ AIOps,tensorflow/tfjs,2dbfe3d46678b6ea4416d61abc8f0410f2ef8619cfe9efae164080b8fc80da806b5f180516d661f359c4f1b678b6978aded55af0138d688162e1bf8b061e,3009002,2,0.062,0.0018
MLOps/ AIOps,tensorflow/tfjs,systemd-analyze,2910666,4,0.06,0.0036
MLOps/ AIOps,tensorflow/tfjs,rbash,2337552,2,0.0482,0.0018
MLOps/ AIOps,tensorflow/tfjs,bash,2338252,6,0.0482,0.0054
