Image,Name,RepoTags
openvino/cvat_server,docker.io/openvino/cvat_server,latest
openvino/cvat_server,docker.io/openvino/cvat_server,v1.2.0
openvino/cvat_server,docker.io/openvino/cvat_server,v1.3.0
openvino/cvat_server,docker.io/openvino/cvat_server,v1.4.0
openvino/cvat_server,docker.io/openvino/cvat_server,v1.5.0
openvino/cvat_server,docker.io/openvino/cvat_server,v1.6.0
openvino/cvat_server,docker.io/openvino/cvat_server,v1.7.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,latest
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.2.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.3.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.4.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.5.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.6.0
openvino/cvat_ui,docker.io/openvino/cvat_ui,v1.7.0
openvino/workbench,docker.io/openvino/workbench,2019.R2.0.0
openvino/workbench,docker.io/openvino/workbench,2019.R3.0.0
openvino/workbench,docker.io/openvino/workbench,2019.R3.1.0
openvino/workbench,docker.io/openvino/workbench,2020.2
openvino/workbench,docker.io/openvino/workbench,2020.3
openvino/workbench,docker.io/openvino/workbench,2020.4
openvino/workbench,docker.io/openvino/workbench,2020.R1.0.0
openvino/workbench,docker.io/openvino/workbench,2021.1
openvino/workbench,docker.io/openvino/workbench,2021.2
openvino/workbench,docker.io/openvino/workbench,2021.3
openvino/workbench,docker.io/openvino/workbench,2021.4
openvino/workbench,docker.io/openvino/workbench,2021.4.0.1
openvino/workbench,docker.io/openvino/workbench,2021.4.0.2
openvino/workbench,docker.io/openvino/workbench,2021.4.1
openvino/workbench,docker.io/openvino/workbench,2021.4.1.1
openvino/workbench,docker.io/openvino/workbench,2021.4.1.2
openvino/workbench,docker.io/openvino/workbench,2021.4.2
openvino/workbench,docker.io/openvino/workbench,latest
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2019_R3.1
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.1
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.2
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.3
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.3.1
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.3.2
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.3.2_src
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2020.4
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.1
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.2
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.3
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.3_src
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.4
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.4.1
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,2021.4.1_20210512
