Image,RepoTag,layer_digest,total_files,total_directory,total_empty_dirs,file_type,file_type_counts,avg_level,median_level,max_level,min_level,,avg_size,median_size,max_size,min_size
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,none,7,6.571428571428571,7.0,7,4,,8946.857142857143,226.0,34282,1
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.txt,2,7.0,7.0,7,7,,44.0,44.0,65,23
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.py,128,8.5703125,9.0,10,7,,4407.59375,2672.0,23568,0
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.yaml,2,9.0,9.0,11,7,,1022.5,1022.5,1557,488
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.cpython-36,129,9.542635658914728,10.0,11,6,,3941.9922480620153,2496.0,21426,143
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.csv,8,12.25,12.0,13,12,,368.75,370.0,370,364
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.yml,14,10.928571428571429,11.0,11,10,,4027.714285714286,659.0,48290,179
milesg/gordo-model-server,latest,7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734,291,98,1,.37,1,9.0,9.0,9,9,,218940.0,218940.0,218940,218940
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,none,31,4.838709677419355,5.0,8,2,,12091.612903225807,2218.0,75622,0
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.6,10,5.0,4.5,7,4,,65587.3,1267.0,573107,84
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.6m-config,1,4.0,4.0,4,4,,3089.0,3089.0,3089,3089
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.6m,5,4.6,4.0,6,4,,12314404.4,13404736.0,34728488,286
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.6-config,1,4.0,4.0,4,4,,3089.0,3089.0,3089,3089
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.h,100,5.0,5.0,5,5,,5933.17,2614.5,81779,253
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.so,18,3.5555555555555554,4.0,4,2,,205213.38888888888,39448.0,1078304,7097
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.pc,1,5.0,5.0,5,5,,286.0,286.0,286,286
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.py,756,6.023809523809524,6.0,7,5,,14989.378306878307,7352.0,643245,0
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.foo,1,5.0,5.0,5,5,,64.0,64.0,64,64
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.txt,12,6.0,6.0,7,5,,10822.75,8603.5,39839,119
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.cpython-36m-x86_64-linux-gnu,67,6.0,6.0,6,6,,194269.73134328358,106824.0,1693344,27192
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.1,2,6.5,6.5,7,6,,39585.0,39585.0,65536,13634
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.0-amd64,3,7.0,7.0,7,7,,344746.6666666667,224256.0,587776,222208
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.0,5,7.0,7.0,7,7,,193638.4,190976.0,458240,61440
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.ctypes,1,7.0,7.0,7,7,,296.0,296.0,296,296
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.bat,2,6.5,6.5,7,6,,126.0,126.0,177,75
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.cfg,1,6.0,6.0,6,6,,160.0,160.0,160,160
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.c,2,6.0,6.0,6,6,,2461.5,2461.5,3302,1621
milesg/gordo-model-server,latest,a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8,1086,155,65,.config,1,6.0,6.0,6,6,,327.0,327.0,327,327
