Image,RepoTag,schemaVersion,mediaType,config_mediaType,config_size,config_digest,layers_mediaType,layers_size,layers_digest
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,22524636,sha256:80369df487363e56aea88d4d41b61f1607fc2ec198e9327cfde36a5346c71bf2
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,2531158,sha256:aaba0609d543071ad229fcea4efdc4aa8d3b4479443d214f89411d809631367f
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,24434053,sha256:a97b990f94a535c4caa6a301faef1766608d0d6f7f3d1e8337cb533630aaf2f8
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,240,sha256:af4a941e5376cf32a37e6e1f84ecd0bab61df154ff6871a29ef19848f5d3ca51
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,2149708,sha256:f3e4426949c72bbb5feb083dfb7193a94e95ad72a67f7186bde1b4adec7ca7e1
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,1311,sha256:218b2a9833bccb39f17e9f9fe8f152fb50d3f0cfca386b260510da8268ac6705
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,497568761,sha256:21e5de466e08d04130a207e2fabf801df0439e8e129230d013c01937d77ccbf8
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,194078,sha256:2fc63c7150c54bd25454d99639f5e87c2a77dd61a2de4dabbc0f31d95c81cd99
milesg/gordo-model-server,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,application/vnd.docker.image.rootfs.diff.tar.gzip,544273,sha256:7ca17ec0b5cb98611645ab4582f4b24d577cb2d51ff1b2518aeec88dd1731734
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.foreign.diff.tar.gzip,4226643236,sha256:78e7b4951ab38f1c807b9d4e62609bf443934715c48c4ebf3f59983fd2c87571
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.foreign.diff.tar.gzip,1868870284,sha256:817e1a9aed6862c2ae0178f89ed22434a3594a1b32c25c3783bbd4160361aa28
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.diff.tar.gzip,1275,sha256:d879ba6dc3f484c6e58192dfe34bc1c1d7ea2229d7abbd4e328413844f753f9f
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.diff.tar.gzip,2129,sha256:d780d9875fd64b15a81d0bf19f99ee7ed163d2ce467862fc03656339bc9283fc
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.diff.tar.gzip,28360091,sha256:dc77651a13255886d963bd83ff4ceba31fb84d4efe2cd2f29195fedd56e3aa43
msxlol/tensorflow-directml-sample,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,3292,sha256:c6d197201212d79a3d81274dda58399ed7871668d3e6e890ae6538d2ab1f5de5,application/vnd.docker.image.rootfs.diff.tar.gzip,101112012,sha256:3a5734e8d98ac3eb7138d3eeba028496fa646d9f683adcda3590149be9379b84
