repos,repo_version,filename,raw_details
ageitgey/face_recognition,latest,/docker-compose.yml,"{'version': '2.3', 'services': {'face_recognition': {'image': 'face_recognition', 'container_name': 'face_recognition', 'working_dir': '/face_recognition/examples', 'build': {'context': '.'}, 'command': 'python3 -u find_faces_in_picture_cnn.py', 'volumes': ['./:/face_recognition']}}}"
fastai/fastai,latest,/docker-compose.yml,"{'version': '3', 'services': {'fastai': {'restart': 'unless-stopped', 'working_dir': '/data', 'image': 'fastai/codespaces', 'logging': {'driver': 'json-file', 'options': {'max-size': '50m'}}, 'stdin_open': True, 'tty': True, 'volumes': ['.:/data/']}, 'notebook': {'restart': 'unless-stopped', 'working_dir': '/data', 'image': 'fastai/codespaces', 'logging': {'driver': 'json-file', 'options': {'max-size': '50m'}}, 'stdin_open': True, 'tty': True, 'volumes': ['.:/data/'], 'command': 'bash -c ""pip install -e . && jupyter notebook --allow-root --no-browser --ip=0.0.0.0 --port=8080 --NotebookApp.token=\'\' --NotebookApp.password=\'\'""', 'ports': ['8080:8080']}, 'watcher': {'restart': 'unless-stopped', 'working_dir': '/data', 'image': 'fastai/codespaces', 'logging': {'driver': 'json-file', 'options': {'max-size': '50m'}}, 'stdin_open': True, 'tty': True, 'volumes': ['.:/data/'], 'command': 'watchmedo shell-command --command nbdev_build_docs --pattern *.ipynb --recursive --drop', 'network_mode': 'host'}, 'jekyll': {'restart': 'unless-stopped', 'working_dir': '/data', 'image': 'fastai/codespaces', 'logging': {'driver': 'json-file', 'options': {'max-size': '50m'}}, 'stdin_open': True, 'tty': True, 'volumes': ['.:/data/'], 'ports': ['4000:4000'], 'command': 'bash -c ""cp -r docs_src docs && pip install . && nbdev_build_docs && cd docs && bundle i && chmod -R u+rwx . && bundle exec jekyll serve --host 0.0.0.0""\n'}}}"
RasaHQ/rasa,latest,/tests_deployment/docker-compose.integration.yml,"{'version': '3.8', 'services': {'redis': {'image': 'redis:6', 'healthcheck': {'test': ['CMD', 'redis-cli', 'ping'], 'interval': '10s', 'timeout': '5s', 'retries': 5}, 'ports': ['6379:6379']}, 'postgres': {'image': 'postgres:13', 'healthcheck': {'test': ['CMD', 'pg_isready'], 'interval': '10s', 'timeout': '5s', 'retries': 5}, 'environment': {'PGUSER': '${PGUSER}', 'POSTGRES_USER': '${POSTGRES_USER}', 'POSTGRES_PASSWORD': '${POSTGRES_PASSWORD}'}, 'ports': ['5432:5432']}, 'rabbitmq': {'image': 'healthcheck/rabbitmq', 'environment': {'RABBITMQ_DEFAULT_USER': '${RABBITMQ_USER}', 'RABBITMQ_DEFAULT_PASS': '${RABBITMQ_PASSWORD}'}, 'ports': ['5672:5672']}}}"
RasaHQ/rasa,latest,/docker/docker-compose.yml,"{'version': '3.0', 'services': {'rasa': {'image': 'rasa/rasa:latest-full', 'networks': ['rasa-network'], 'ports': ['5005:5005'], 'volumes': ['./rasa-app-data/:/app/'], 'command': ['run']}, 'action_server': {'image': 'rasa/rasa-sdk:latest', 'networks': ['rasa-network'], 'ports': ['5055:5055'], 'volumes': ['./rasa-app-data/actions:/app/actions']}, 'duckling': {'image': 'rasa/duckling:latest', 'networks': ['rasa-network'], 'ports': ['8000:8000']}}, 'networks': {'rasa-network': {}}}"
Alluxio/alluxio,latest,/integration/metrics/docker-compose-master.yaml,"{'version': '2', 'services': {'jaeger-all-in-one': {'image': 'jaegertracing/all-in-one:latest', 'ports': ['16686:16686', '14268:14268', '14250:14250']}, 'otel-collector': {'image': 'otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b', 'command': ['--config=/etc/otel-collector-config.yaml'], 'volumes': ['./otel-collector-config.yaml:/etc/otel-collector-config.yaml'], 'ports': ['1888:1888', '4318:4317', '8888:8888', '8889:8889', '13133:13133', '55670:55679'], 'depends_on': ['jaeger-all-in-one']}, 'otel-agent': {'image': 'otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b', 'command': ['--config=/etc/otel-agent-config.yaml'], 'volumes': ['./otel-agent-config.yaml:/etc/otel-agent-config.yaml'], 'ports': ['1777:1777', '4317:4317', '8887:8888', '9411', '13133', '14250', '14268', '55678', '55679:55679'], 'depends_on': ['otel-collector']}, 'prometheus': {'container_name': 'prometheus', 'image': 'prom/prometheus:latest', 'volumes': ['./prometheus.yaml:/etc/prometheus/prometheus.yml'], 'ports': ['9090:9090']}}}"
Alluxio/alluxio,latest,/integration/metrics/docker-compose-worker.yaml,"{'version': '2', 'services': {'otel-agent': {'image': 'otel/opentelemetry-collector-dev:b24db545eb56e2ee7dcf6a8f3740ce49bb80608b', 'environment': {'MASTER_IP': '${MASTER_IP}'}, 'command': ['--config=/etc/otel-agent-config-worker.yaml'], 'volumes': ['./otel-agent-config-worker.yaml:/etc/otel-agent-config-worker.yaml'], 'ports': ['1777:1777', '4317:4317', '8887:8888', '13133', '14250', '14268', '55678', '9411', '55679:55679']}}}"
mlflow/mlflow,latest,/tests/db/docker-compose.yml,"{'version': '3', 'services': {'postgres': {'image': 'postgres', 'restart': 'always', 'environment': {'POSTGRES_DB': 'mlflowdb', 'POSTGRES_USER': 'mlflowuser', 'POSTGRES_PASSWORD': 'mlflowpassword'}}, 'mlflow-postgres': {'depends_on': ['postgres'], 'build': {'context': '.'}, 'volumes': ['.:/tmp/mlflow'], 'environment': {'MLFLOW_TRACKING_URI': 'postgresql://mlflowuser:mlflowpassword@postgres:5432/mlflowdb'}, 'command': 'python run_checks.py --schema-output schemas/postgres.sql'}, 'mysql': {'image': 'mysql', 'restart': 'always', 'environment': {'MYSQL_ROOT_PASSWORD': 'root-password', 'MYSQL_DATABASE': 'mlflowdb', 'MYSQL_USER': 'mlflowuser', 'MYSQL_PASSWORD': 'mlflowpassword'}, 'command': 'mysqld --default-authentication-plugin=mysql_native_password'}, 'mlflow-mysql': {'depends_on': ['mysql'], 'build': {'context': '.'}, 'volumes': ['.:/tmp/mlflow'], 'environment': {'MLFLOW_TRACKING_URI': 'mysql://mlflowuser:mlflowpassword@mysql:3306/mlflowdb'}, 'command': 'python run_checks.py --schema-output schemas/mysql.sql'}, 'mssql': {'image': 'mcr.microsoft.com/mssql/server', 'restart': 'always', 'environment': {'ACCEPT_EULA': 'Y', 'SA_PASSWORD': '1Secure*Password1'}}, 'mlflow-mssql': {'depends_on': ['mssql'], 'build': {'context': '.', 'dockerfile': 'Dockerfile.mssql'}, 'volumes': ['.:/tmp/mlflow'], 'environment': {'MLFLOW_TRACKING_URI': 'mssql+pyodbc://mlflowuser:Mlfl*wpassword1@mssql/mlflowdb?driver=ODBC+Driver+17+for+SQL+Server'}, 'command': 'bash -ex -c ""./init-mssql-db.sh && python run_checks.py --schema-output schemas/mssql.sql""'}, 'mlflow-sqlite': {'depends_on': ['postgres'], 'build': {'context': '.'}, 'volumes': ['.:/tmp/mlflow'], 'environment': {'MLFLOW_TRACKING_URI': 'sqlite:////tmp/mlflow/mlflowdb'}, 'command': 'bash -ex -c ""rm -rf mlflowdb && python run_checks.py --schema-output schemas/sqlite.sql""'}}}"
mlflow/mlflow,latest,/examples/mlflow_artifacts/docker-compose.yml,"{'version': '3', 'services': {'minio': {'image': 'minio/minio', 'expose': ['9000'], 'ports': ['9000:9000', '9001:9001'], 'environment': {'MINIO_ROOT_USER': 'user', 'MINIO_ROOT_PASSWORD': 'password'}, 'healthcheck': {'test': ['CMD', 'curl', '-f', 'http://localhost:9000/minio/health/live'], 'interval': '1s', 'timeout': '10s', 'retries': 5}, 'command': 'server /data --console-address "":9001""'}, 'minio-create-bucket': {'image': 'minio/mc', 'depends_on': {'minio': {'condition': 'service_healthy'}}, 'entrypoint': 'bash -c "" mc alias set minio http://minio:9000 user password && if ! mc ls minio | grep --quiet bucket; then\n  mc mb minio/bucket\nelse\n  echo \'bucket already exists\'\nfi ""\n'}, 'artifacts-server': {'build': {'context': '.', 'dockerfile': '${DOCKERFILE:-Dockerfile}'}, 'depends_on': ['minio-create-bucket'], 'expose': ['5500'], 'ports': ['5500:5500'], 'environment': {'MLFLOW_S3_ENDPOINT_URL': 'http://minio:9000', 'AWS_ACCESS_KEY_ID': 'user', 'AWS_SECRET_ACCESS_KEY': 'password'}, 'command': 'mlflow server --host 0.0.0.0 --port 5500 --artifacts-destination s3://bucket --gunicorn-opts ""--log-level debug"" --serve-artifacts --artifacts-only\n'}, 'postgres': {'image': 'postgres', 'restart': 'always', 'environment': {'POSTGRES_DB': 'db', 'POSTGRES_USER': 'user', 'POSTGRES_PASSWORD': 'password'}}, 'tracking-server': {'build': {'context': '.', 'dockerfile': '${DOCKERFILE:-Dockerfile}'}, 'depends_on': ['postgres', 'artifacts-server'], 'expose': ['5000'], 'ports': ['5000:5000'], 'command': 'mlflow server --host 0.0.0.0 --port 5000 --backend-store-uri postgresql://user:password@postgres:5432/db --default-artifact-root http://artifacts-server:5500/api/2.0/mlflow-artifacts/artifacts/experiments --gunicorn-opts ""--log-level debug""\n'}, 'client': {'build': {'context': '.', 'dockerfile': '${DOCKERFILE:-Dockerfile}'}, 'depends_on': ['tracking-server'], 'environment': {'MLFLOW_TRACKING_URI': 'http://tracking-server:5000'}}}}"
horovod/horovod,latest,/docker-compose.test.yml,"{'version': '2.3', 'services': {'test-cpu-base': {'build': {'context': '.', 'dockerfile': 'Dockerfile.test.cpu', 'args': {'UBUNTU_VERSION': 18.04, 'GPP_VERSION': 7, 'MPI_KIND': 'None', 'PYTHON_VERSION': 3.8, 'TENSORFLOW_PACKAGE': 'tensorflow-cpu==2.7.0', 'KERAS_PACKAGE': 'keras==2.7.0', 'PYTORCH_PACKAGE': 'torch==1.10.1+cpu', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch-lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.11.2+cpu', 'MXNET_PACKAGE': 'mxnet==1.9.0', 'PYSPARK_PACKAGE': 'pyspark==3.2.0', 'SPARK_PACKAGE': 'spark-3.2.0/spark-3.2.0-bin-hadoop2.7.tgz', 'HOROVOD_BUILD_FLAGS': 'HOROVOD_WITH_GLOO=1'}}, 'privileged': True, 'shm_size': '8gb'}, 'test-cpu-gloo-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-cpu-base'}, 'test-cpu-mpich-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'MPI_KIND': 'MPICH', 'HOROVOD_BUILD_FLAGS': 'HOROVOD_WITHOUT_GLOO=1'}}}, 'test-cpu-oneccl-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'MPI_KIND': 'ONECCL', 'HOROVOD_BUILD_FLAGS': 'HOROVOD_WITHOUT_GLOO=1'}}}, 'test-cpu-openmpi-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'MPI_KIND': 'OpenMPI', 'HOROVOD_BUILD_FLAGS': 'HOROVOD_WITHOUT_GLOO=1'}}}, 'test-cpu-openmpi-gloo-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'MPI_KIND': 'OpenMPI'}}}, 'test-cpu-gloo-py3_7-tf1_15_5-keras2_2_4-torch1_7_1-mxnet1_5_1_p0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'PYTHON_VERSION': 3.7, 'TENSORFLOW_PACKAGE': 'tensorflow==1.15.5', 'KERAS_PACKAGE': 'keras==2.2.4', 'PYTORCH_PACKAGE': 'torch==1.7.1+cpu', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.8.2+cpu', 'MXNET_PACKAGE': 'mxnet==1.5.1.post0'}}}, 'test-cpu-gloo-py3_8-tf2_5_2-keras2_5_0rc0-torch1_8_1-mxnet1_7_0_p2-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'TENSORFLOW_PACKAGE': 'tensorflow-cpu==2.5.2', 'KERAS_PACKAGE': 'keras==2.5.0rc0', 'PYTORCH_PACKAGE': 'torch==1.8.1+cpu', 'TORCHVISION_PACKAGE': 'torchvision==0.9.1', 'MXNET_PACKAGE': 'mxnet==1.7.0.post2'}}}, 'test-cpu-gloo-py3_8-tf2_6_2-keras2_6_0-torch1_9_1-mxnet1_8_0_p0-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'TENSORFLOW_PACKAGE': 'tensorflow-cpu==2.6.2', 'KERAS_PACKAGE': 'keras==2.6.0', 'PYTORCH_PACKAGE': 'torch==1.9.1+cpu', 'TORCHVISION_PACKAGE': 'torchvision==0.10.1', 'MXNET_PACKAGE': 'mxnet==1.8.0.post0'}}}, 'test-cpu-gloo-py3_8-tfhead-keras_none-torchhead-mxnethead-pyspark3_2_0': {'extends': 'test-cpu-base', 'build': {'args': {'TENSORFLOW_PACKAGE': 'tf-nightly', 'KERAS_PACKAGE': 'None', 'PYTORCH_PACKAGE': 'torch-nightly', 'TORCHVISION_PACKAGE': 'torchvision', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning', 'MXNET_PACKAGE': 'mxnet-nightly'}}}, 'test-cpu-gloo-py3_7-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark2_4_8': {'extends': 'test-cpu-base', 'build': {'args': {'PYTHON_VERSION': 3.7, 'PYSPARK_PACKAGE': 'pyspark==2.4.8', 'SPARK_PACKAGE': 'spark-2.4.8/spark-2.4.8-bin-hadoop2.7.tgz'}}}, 'test-cpu-gloo-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_1_2': {'extends': 'test-cpu-base', 'build': {'args': {'PYTHON_VERSION': 3.8, 'PYSPARK_PACKAGE': 'pyspark==3.1.2', 'SPARK_PACKAGE': 'spark-3.1.2/spark-3.1.2-bin-hadoop2.7.tgz'}}}, 'test-gpu-base': {'build': {'context': '.', 'dockerfile': 'Dockerfile.test.gpu', 'args': {'GPP_VERSION': 7, 'MPI_KIND': 'None', 'PYTHON_VERSION': 3.8, 'PYSPARK_PACKAGE': 'pyspark==3.2.0', 'SPARK_PACKAGE': 'spark-3.2.0/spark-3.2.0-bin-hadoop2.7.tgz', 'HOROVOD_BUILD_FLAGS': 'HOROVOD_GPU_OPERATIONS=NCCL', 'HOROVOD_MIXED_INSTALL': 0}}, 'runtime': 'nvidia', 'environment': ['CUDA_VISIBLE_DEVICES'], 'privileged': True, 'shm_size': '8gb'}, 'test-gpu-gloo-py3_7-tf1_15_5-keras2_2_4-torch1_7_1-mxnet1_5_1_p0-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '10.0-devel-ubuntu18.04', 'CUDNN_VERSION': '7.6.5.32-1+cuda10.1', 'NCCL_VERSION_OVERRIDE': '2.7.8-1+cuda10.1', 'PYTHON_VERSION': 3.7, 'TENSORFLOW_PACKAGE': 'tensorflow-gpu==1.15.5', 'KERAS_PACKAGE': 'keras==2.2.4', 'PYTORCH_PACKAGE': 'torch==1.7.1+cu101', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.8.2+cu101', 'MXNET_PACKAGE': 'mxnet-cu100==1.5.1.post0'}}}, 'test-gpu-gloo-py3_8-tf2_5_2-keras2_5_0rc0-torch1_8_1-mxnet1_7_0_p1-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '10.1-devel-ubuntu18.04', 'CUDNN_VERSION': '7.6.5.32-1+cuda10.1', 'NCCL_VERSION_OVERRIDE': '2.7.8-1+cuda10.1', 'TENSORFLOW_PACKAGE': 'tensorflow-gpu==2.5.2', 'KERAS_PACKAGE': 'keras==2.5.0rc0', 'PYTORCH_PACKAGE': 'torch==1.8.1+cu101', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.9.1+cu101', 'MXNET_PACKAGE': 'mxnet-cu101==1.7.0.post1'}}}, 'test-gpu-gloo-py3_8-tf2_6_2-keras2_6_0-torch1_9_1-mxnet1_8_0_p0-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '11.2.2-devel-ubuntu18.04', 'CUDNN_VERSION': '8.1.1.33-1+cuda11.2', 'NCCL_VERSION_OVERRIDE': '2.8.4-1+cuda11.2', 'TENSORFLOW_PACKAGE': 'tensorflow-gpu==2.6.2', 'KERAS_PACKAGE': 'keras==2.6.0', 'PYTORCH_PACKAGE': 'torch==1.9.1+cu111', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.10.1+cu111', 'MXNET_PACKAGE': 'mxnet-cu112==1.8.0.post0'}}}, 'test-gpu-openmpi-gloo-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '11.2.2-devel-ubuntu18.04', 'CUDNN_VERSION': '8.1.1.33-1+cuda11.2', 'NCCL_VERSION_OVERRIDE': '2.8.4-1+cuda11.2', 'MPI_KIND': 'OpenMPI', 'TENSORFLOW_PACKAGE': 'tensorflow-gpu==2.7.0', 'KERAS_PACKAGE': 'keras==2.7.0', 'PYTORCH_PACKAGE': 'torch==1.10.1+cu111', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch-lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.11.2+cu111', 'MXNET_PACKAGE': 'mxnet-cu112==1.9.0'}}}, 'test-gpu-gloo-py3_8-tfhead-keras_none-torchhead-mxnethead-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '11.2.2-devel-ubuntu18.04', 'CUDNN_VERSION': '8.1.1.33-1+cuda11.2', 'NCCL_VERSION_OVERRIDE': '2.8.4-1+cuda11.2', 'TENSORFLOW_PACKAGE': 'tf-nightly-gpu', 'KERAS_PACKAGE': 'None', 'PYTORCH_PACKAGE': 'torch-nightly-cu111', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning', 'TORCHVISION_PACKAGE': 'torchvision', 'MXNET_PACKAGE': 'mxnet-nightly-cu112'}}}, 'test-mixed-openmpi-gloo-py3_8-tf2_7_0-keras2_7_0-torch1_10_1-mxnet1_9_0-pyspark3_2_0': {'extends': 'test-gpu-base', 'build': {'args': {'CUDA_DOCKER_VERSION': '11.2.2-devel-ubuntu18.04', 'CUDNN_VERSION': '8.1.1.33-1+cuda11.2', 'NCCL_VERSION_OVERRIDE': '2.8.4-1+cuda11.2', 'MPI_KIND': 'OpenMPI', 'TENSORFLOW_PACKAGE': 'tensorflow-gpu==2.7.0', 'KERAS_PACKAGE': 'keras==2.7.0', 'PYTORCH_PACKAGE': 'torch==1.10.1+cu111', 'PYTORCH_LIGHTNING_PACKAGE': 'pytorch_lightning==1.3.8', 'TORCHVISION_PACKAGE': 'torchvision==0.11.2+cu111', 'MXNET_PACKAGE': 'mxnet-cu112==1.9.0', 'HOROVOD_BUILD_FLAGS': '', 'HOROVOD_MIXED_INSTALL': 1}}}}}"
openvinotoolkit/cvat,latest,/docker-compose.ci.yml,"{'version': '3.3', 'services': {'cvat_ci': {'image': 'cvat_ci', 'network_mode': 'host', 'build': {'context': '.', 'dockerfile': 'Dockerfile.ci'}, 'depends_on': ['cvat'], 'environment': {'COVERALLS_SERVICE_NAME': None, 'CONTAINER_COVERAGE_DATA_DIR': None, 'GITHUB_ACTIONS': None, 'GITHUB_TOKEN': None, 'GITHUB_WORKSPACE': None, 'GITHUB_REF': None, 'GITHUB_HEAD_REF': None, 'GITHUB_RUN_ID': None}, 'volumes': ['${HOST_COVERAGE_DATA_DIR}:${CONTAINER_COVERAGE_DATA_DIR}']}}}"
