repos,repo_version,filename,raw_details
great-expectations/great_expectations,latest,/assets/docker/postgresql/docker-compose.yml,"{'version': '3.2', 'services': {'travis_db': {'image': 'postgres:12', 'command': ['postgres', '-c', 'max_connections=1000'], 'environment': {'POSTGRES_USER': 'postgres', 'POSTGRES_HOST_AUTH_METHOD': 'trust', 'POSTGRES_DB': 'test_ci'}, 'networks': ['dbnet'], 'ports': ['5432:5432']}}, 'networks': {'dbnet': {'driver': 'bridge'}}}"
great-expectations/great_expectations,latest,/assets/docker/linkchecker/docker-compose.yml,"{'version': '3.2', 'services': {'linkchecker': {'build': './', 'image': 'linkchecker:1.0'}}}"
great-expectations/great_expectations,latest,/assets/docker/readthedocs/docker-compose.yml,"{'version': '3.2', 'services': {'rtd': {'image': 'readthedocs/build:6.0'}}}"
great-expectations/great_expectations,latest,/assets/docker/mysql/docker-compose.yml,"{'version': '3.2', 'services': {'mysql_db': {'image': 'mysql:8.0.20', 'volumes': ['./conf.d:/etc/mysql/conf.d'], 'environment': {'MYSQL_ALLOW_EMPTY_PASSWORD': 'true', 'MYSQL_DATABASE': 'test_ci'}, 'networks': ['dbnet'], 'ports': ['3306:3306']}}, 'networks': {'dbnet': {'driver': 'bridge'}}}"
great-expectations/great_expectations,latest,/assets/docker/mssql/docker-compose.yml,"{'version': '3.2', 'services': {'mssql_db': {'image': 'mcr.microsoft.com/mssql/server:2019-latest', 'environment': {'ACCEPT_EULA': 'Y', 'MSSQL_SA_PASSWORD': 'ReallyStrongPwd1234%^&*', 'MSSQL_DB': 'test_ci', 'MSSQL_PID': 'Developer'}, 'networks': ['dbnet'], 'ports': ['1433:1433']}}, 'networks': {'dbnet': {'driver': 'bridge'}}}"
jbarlow83/OCRmyPDF,latest,/misc/docker-compose.example.yml,"{'version': '3.3', 'services': {'ocrmypdf': {'restart': 'always', 'container_name': 'ocrmypdf', 'image': 'jbarlow83/ocrmypdf', 'volumes': ['/media/scan:/input', '/mnt/scan:/output'], 'environment': ['OCR_OUTPUT_DIRECTORY_YEAR_MONTH=0'], 'user': '<SET TO YOUR USER ID>:<SET TO YOUR GROUP ID>', 'entrypoint': 'python3', 'command': 'watcher.py'}}}"
LiberTEM/LiberTEM,latest,/packaging/docker/docker-compose.yml,"{'version': '3.4', 'services': {'scheduler': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile'}, 'ports': ['8786:8786'], 'image': 'libertem/libertem:triage', 'command': ['/venv/bin/dask-scheduler']}, 'worker-1': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile'}, 'hostname': 'worker-1', 'image': 'libertem/libertem:triage', 'command': ['/venv/bin/libertem-worker', 'tcp://scheduler:8786', '--n-cpus', '2', '--cudas', ''], 'volumes': [{'type': 'bind', 'source': '../../data', 'target': '/data'}], 'depends_on': ['scheduler']}, 'worker-2': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile'}, 'hostname': 'worker-2', 'image': 'libertem/libertem:triage', 'command': ['/venv/bin/libertem-worker', 'tcp://scheduler:8786', '--n-cpus', '2', '--cudas', ''], 'volumes': [{'type': 'bind', 'source': '../../data', 'target': '/data'}], 'depends_on': ['scheduler']}, 'ipy-controller': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile', 'args': {'dev': 1}}, 'hostname': 'ipy-controller', 'image': 'libertem/libertem-dev', 'command': ['/venv/bin/ipcontroller', ""--ip='*'""], 'volumes': ['ipyconfig:/root/.ipython/']}, 'ipy-worker-1': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile', 'args': {'dev': 1}}, 'hostname': 'ipy-worker-1', 'image': 'libertem/libertem-dev', 'command': ['/venv/bin/ipengine', '/parallelconfig/profile_default/security/ipcontroller-client.json'], 'volumes': ['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}], 'depends_on': ['scheduler']}, 'ipy-worker-2': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile', 'args': {'dev': 1}}, 'hostname': 'ipy-worker-2', 'image': 'libertem/libertem-dev', 'command': ['/venv/bin/ipengine', '/parallelconfig/profile_default/security/ipcontroller-client.json'], 'volumes': ['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}], 'depends_on': ['scheduler']}, 'tests': {'build': {'context': '../../', 'dockerfile': 'packaging/docker/Dockerfile', 'args': {'dev': 1}}, 'hostname': 'tests', 'image': 'libertem/libertem-dev', 'working_dir': '/code/', 'environment': ['DASK_SCHEDULER_ADDRESS=tcp://scheduler:8786', 'TESTDATA_BASE_PATH=/data/'], 'command': ['/venv/bin/pytest', 'tests/', '-m', 'dist'], 'volumes': ['ipyconfig:/root/.ipython/', {'type': 'bind', 'source': '../../data', 'target': '/data'}], 'depends_on': ['scheduler', 'worker-1', 'worker-2', 'ipy-controller', 'ipy-worker-1', 'ipy-worker-2']}}, 'volumes': {'ipyconfig': None}}"
esmBot/esmBot,latest,/docker-compose.yml,"{'version': '3.0', 'services': {'bot': {'build': {'context': '.', 'dockerfile': 'Dockerfile.bot'}, 'image': 'esmbot', 'restart': 'unless-stopped', 'volumes': ['./logs:/home/esmBot/.internal/logs', './bot-help:/home/esmBot/help', './bot-temp:/home/esmBot/temp', './servers.json:/home/esmBot/.internal/servers.json'], 'env_file': ['.env'], 'environment': {'OUTPUT': '/home/esmBot/help/help.md', 'TEMPDIR': '/home/esmBot/temp'}, 'links': ['lavalink'], 'depends_on': ['lavalink', 'postgres'], 'networks': {'esmbot': {'ipv4_address': '172.20.0.2'}}}, 'lavalink': {'container_name': 'lavalink', 'image': 'fredboat/lavalink:dev', 'restart': 'unless-stopped', 'volumes': ['./application.yml:/opt/Lavalink/application.yml', './assets:/opt/Lavalink/assets'], 'networks': {'esmbot': {'ipv4_address': '172.20.0.3'}}}, 'postgres': {'container_name': 'postgres', 'image': 'postgres:13-alpine', 'restart': 'unless-stopped', 'volumes': ['pg-data:/var/lib/postgresql/data', './utils/psqlinit.sh:/docker-entrypoint-initdb.d/psqlinit.sh'], 'environment': {'POSTGRES_PASSWORD': 'verycoolpass100', 'POSTGRES_USER': 'esmbot', 'POSTGRES_DB': 'esmbot'}, 'networks': {'esmbot': {'ipv4_address': '172.20.0.4'}}}, 'adminer': {'image': 'adminer', 'restart': 'unless-stopped', 'depends_on': ['postgres'], 'ports': ['8888:8080'], 'networks': {'esmbot': {'ipv4_address': '172.20.0.5'}}}}, 'volumes': {'bot-help': None, 'bot-temp': None, 'pg-data': None}, 'networks': {'esmbot': {'driver': 'bridge', 'ipam': {'config': [{'subnet': '172.20.0.0/24'}]}}}}"
jakowenko/double-take,latest,/docker-compose.yml,"{'version': '3.7', 'volumes': {'double-take': None}, 'services': {'double-take': {'container_name': 'double-take', 'image': 'jakowenko/double-take', 'restart': 'unless-stopped', 'volumes': ['double-take:/.storage'], 'ports': ['3000:3000']}}}"
jakowenko/double-take,latest,/.develop/docker-compose.yml,"{'version': '3.7', 'services': {'frontend': {'container_name': 'double-take-frontend', 'command': 'npm run frontend', 'depends_on': ['api'], 'build': {'context': '../', 'dockerfile': './.develop/Dockerfile.dev'}, 'ports': ['8080:8080'], 'volumes': ['..:/double-take', '/double-take/frontend/node_modules']}, 'api': {'container_name': 'double-take-api', 'entrypoint': '.develop/entrypoint.dev.sh', 'depends_on': ['mqtt'], 'build': {'context': '../', 'dockerfile': './.develop/Dockerfile.dev'}, 'ports': ['3000:3000'], 'volumes': ['..:/double-take', '/double-take/api/node_modules']}, 'mqtt': {'container_name': 'double-take-mqtt', 'restart': 'unless-stopped', 'image': 'eclipse-mosquitto', 'volumes': ['./mosquitto.conf:/mosquitto/config/mosquitto.conf'], 'ports': ['1883:1883']}}}"
spacechop/spacechop,latest,/docker-compose.travis.yml,"{'version': '3.2', 'services': {'spacechop': {'command': 'npm run test:ci', 'environment': ['LOG_FILE=test'], 'build': {'cache_from': ['spacechop:latest'], 'args': {'env': 'development'}}, 'volumes': ['./coverage:/src/coverage']}}}"
spacechop/spacechop,latest,/docker-compose.override.yml,"{'version': '3.2', 'services': {'spacechop': {'command': 'npm run develop', 'volumes': ['./src:/src/app', './config.yml:/config.yml'], 'build': {'args': {'env': 'development'}}}}}"
spacechop/spacechop,latest,/docker-compose.packages.yml,"{'version': '3.2', 'services': {'spacechop': {'command': 'sh -c ""cd types; npm install; npm run-script build""', 'build': {'cache_from': ['spacechop:latest'], 'args': {'env': 'development'}}, 'volumes': ['./packages/types:/src/types', './src:/src/app']}}}"
