repos,repo_version,filename,option,option_count,category
keras-team/keras,latest,/.devcontainer/Dockerfile,apt-get,2,Dependencies
keras-team/keras,latest,/.devcontainer/Dockerfile,echo,2,Filesystem
keras-team/keras,latest,/.devcontainer/Dockerfile,bash,1,Build/Execute
keras-team/keras,latest,/.devcontainer/Dockerfile,install,3,Build/Execute
keras-team/keras,latest,/.devcontainer/Dockerfile,chmod,1,Permissions
keras-team/keras,latest,/.devcontainer/Dockerfile,useradd,1,Permissions
keras-team/keras,latest,/.devcontainer/Dockerfile,groupadd,1,Permissions
keras-team/keras,latest,/.devcontainer/Dockerfile,apt,4,Dependencies
keras-team/keras,latest,/.devcontainer/Dockerfile,curl,2,Dependencies
keras-team/keras,latest,/.devcontainer/Dockerfile,mv,1,Filesystem
deepfakes/faceswap,latest,/Dockerfile.cpu,apt-get,5,Dependencies
deepfakes/faceswap,latest,/Dockerfile.cpu,git,1,Dependencies
deepfakes/faceswap,latest,/Dockerfile.cpu,add-apt-repository,1,Dependencies
deepfakes/faceswap,latest,/Dockerfile.cpu,rm,2,Filesystem
deepfakes/faceswap,latest,/Dockerfile.cpu,install,4,Build/Execute
deepfakes/faceswap,latest,/Dockerfile.cpu,pip,1,Dependencies
deepfakes/faceswap,latest,/Dockerfile.cpu,pip3,2,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,apt-get,8,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,install,9,Build/Execute
deepfakes/faceswap,latest,/Dockerfile.gpu,add-apt-repository,1,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,curl,2,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,rm,3,Filesystem
deepfakes/faceswap,latest,/Dockerfile.gpu,git,1,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,pip,3,Dependencies
deepfakes/faceswap,latest,/Dockerfile.gpu,echo,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,apt-get,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,wget,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,add-apt-repository,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,tar,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,install,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,conda,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.cpu,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,yum,3,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,wget,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,tar,2,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,install,4,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,pip,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,cd,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,make,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,./configure,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_r_centos7,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,apt-get,2,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,pip,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,wget,2,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,tar,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,cmake,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,install,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,python3,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.s390x,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,apt-get,2,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,wget,3,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,bash,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,install,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,conda,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,apt-get,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,wget,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,install,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,export,2,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,conda,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.rmm,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,yum,3,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,wget,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,tar,2,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,ln,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,make,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,install,3,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,pip,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,yum,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,wget,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,tar,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,install,3,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,rpm,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,rm,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,export,2,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build_centos7,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,apt-get,6,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,wget,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,add-apt-repository,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,tar,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,install,3,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,export,2,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_build,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,yum,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,wget,6,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,git,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,tar,2,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,ln,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,bash,2,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,install,4,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,rpm,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,rm,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,export,2,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,pip,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_gpu_build,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,apt-get,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,wget,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,add-apt-repository,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,tar,3,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,ln,2,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,unzip,1,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,bash,1,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,install,4,Build/Execute
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,pip,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,set,1,Environment
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.jvm_cross,chmod,1,Permissions
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_jvm,apt-get,4,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_jvm,wget,5,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_jvm,add-apt-repository,1,Dependencies
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_jvm,tar,3,Filesystem
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.gpu_jvm,ln,2,Filesystem
