Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
Documentation,yandexdataschool/Practical_RL,P1,none,1.74,0.0
Documentation,yandexdataschool/Practical_RL,P1,.rst,1.13,0.0
Documentation,yandexdataschool/Practical_RL,P1,.pm,0.67,0.0
Documentation,yandexdataschool/Practical_RL,P1,.cmake,0.66,0.0
Documentation,yandexdataschool/Practical_RL,P1,.Debian.1,0.64,0.0
Documentation,yandexdataschool/Practical_RL,P1,.xml,0.6,0.0
Documentation,prabhuomkar/pytorch-cpp,P2,none,20.06,0.2922
Documentation,prabhuomkar/pytorch-cpp,P2,.rst,2.97,0.0238
Documentation,prabhuomkar/pytorch-cpp,P2,.cmake,1.62,0.0799
Documentation,prabhuomkar/pytorch-cpp,P2,.pm,1.28,0.2305
Documentation,prabhuomkar/pytorch-cpp,P2,.pl,1.0,0.085
Documentation,prabhuomkar/pytorch-cpp,P2,.Debian.1,0.23,0.006
Documentation,JdeRobot/RoboticsAcademy,P0,.svg,6.86,0.821
Documentation,JdeRobot/RoboticsAcademy,P0,.png,2.54,0.691
Documentation,JdeRobot/RoboticsAcademy,P0,none,2.51,0.2662
Documentation,JdeRobot/RoboticsAcademy,P0,.xml,0.98,0.1102
Documentation,JdeRobot/RoboticsAcademy,P0,.Debian.1,0.88,0.0212
Documentation,JdeRobot/RoboticsAcademy,P0,.cmake,0.83,0.0525
