Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
Machine Learning,scikit-learn/scikit-learn,P3,none,11.27,0.0321
Machine Learning,scikit-learn/scikit-learn,P3,.vim,4.14,0.0309
Machine Learning,scikit-learn/scikit-learn,P3,.pm,2.44,0.0396
Machine Learning,scikit-learn/scikit-learn,P3,.pl,1.96,0.0153
Machine Learning,scikit-learn/scikit-learn,P3,.Debian.1,0.99,0.0016
Machine Learning,scikit-learn/scikit-learn,P3,.txt,0.89,0.0312
Machine Learning,scikit-learn/scikit-learn,P3,none,27.54,0.6315
Machine Learning,scikit-learn/scikit-learn,P3,.xml,3.09,0.1427
Machine Learning,scikit-learn/scikit-learn,P3,.Debian.1,0.64,0.022
Machine Learning,scikit-learn/scikit-learn,P3,.crt,0.59,0.0148
Machine Learning,scikit-learn/scikit-learn,P3,.pm,0.55,0.0152
Machine Learning,scikit-learn/scikit-learn,P3,.c,0.15,0.0115
Machine Learning,microsoft/LightGBM,P0,none,6.8,0.8546
Machine Learning,microsoft/LightGBM,P0,.png,6.18,0.6692
Machine Learning,microsoft/LightGBM,P0,.symbolic.1,2.13,0.0272
Machine Learning,microsoft/LightGBM,P0,.mo,1.57,1.9687
Machine Learning,microsoft/LightGBM,P0,.rst,0.95,0.0108
Machine Learning,microsoft/LightGBM,P0,.cmake,0.57,0.0429
Machine Learning,catboost/catboost,P4,.crt,0.84,0.0477
Machine Learning,catboost/catboost,P4,none,0.14,0.0188
Machine Learning,catboost/catboost,P4,.alpinelinux.1.2.3,0.09,0.0015
Machine Learning,catboost/catboost,P4,.py,0.04,0.0243
Machine Learning,catboost/catboost,P4,.h,0.03,0.0302
Machine Learning,catboost/catboost,P4,.cpython-37.1.2,0.02,0.005
Machine Learning,aksnzhy/xlearn,P2,none,19.47,0.3521
Machine Learning,aksnzhy/xlearn,P2,.rst,4.35,0.0245
Machine Learning,aksnzhy/xlearn,P2,.cmake,2.52,0.1003
Machine Learning,aksnzhy/xlearn,P2,.pm,2.14,0.3762
Machine Learning,aksnzhy/xlearn,P2,.pl,1.83,0.1458
Machine Learning,aksnzhy/xlearn,P2,.Debian.1,0.62,0.0131
Machine Learning,pymc-devs/pymc,P1,.tfm,11.64,1.9205
Machine Learning,pymc-devs/pymc,P1,.svg,10.73,1.5718
Machine Learning,pymc-devs/pymc,P1,none,5.8,0.6239
Machine Learning,pymc-devs/pymc,P1,.htf,5.48,0.1099
Machine Learning,pymc-devs/pymc,P1,.vf,3.95,0.1443
Machine Learning,pymc-devs/pymc,P1,.sty,3.21,0.8924
