Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
Model,ultralytics/yolov5,P0,none,3.75,0.1712
Model,ultralytics/yolov5,P0,.js,3.0,0.1471
Model,ultralytics/yolov5,P0,.rst,2.5,0.0159
Model,ultralytics/yolov5,P0,.cmake,1.33,0.0484
Model,ultralytics/yolov5,P0,.vim,0.63,0.0406
Model,ultralytics/yolov5,P0,.svg,0.55,0.0295
Model,ultralytics/yolov5,P0,.js,4.83,0.3151
Model,ultralytics/yolov5,P0,none,3.83,0.1642
Model,ultralytics/yolov5,P0,.rst,2.43,0.0161
Model,ultralytics/yolov5,P0,.cmake,1.3,0.0505
Model,ultralytics/yolov5,P0,.js.1,0.88,0.0878
Model,ultralytics/yolov5,P0,.d.1,0.84,0.0325
Model,qubvel/segmentation_models.pytorch,P4,.vim,6.39,0.2449
Model,qubvel/segmentation_models.pytorch,P4,.pm,3.87,0.3335
Model,qubvel/segmentation_models.pytorch,P4,none,3.67,0.1438
Model,qubvel/segmentation_models.pytorch,P4,.xml,3.43,0.0516
Model,qubvel/segmentation_models.pytorch,P4,.pl,3.0,0.1231
Model,qubvel/segmentation_models.pytorch,P4,.Debian.1,1.19,0.0143
Model,araffin/rl-baselines-zoo,P2,none,2.7,0.0
Model,araffin/rl-baselines-zoo,P2,.rst,2.12,0.0
Model,araffin/rl-baselines-zoo,P2,.pm,1.26,0.0
Model,araffin/rl-baselines-zoo,P2,.cmake,1.21,0.0
Model,araffin/rl-baselines-zoo,P2,.xml,1.12,0.0
Model,araffin/rl-baselines-zoo,P2,.pl,0.92,0.0
Model,IntelAI/models,P3,none,2.18,0.136
Model,IntelAI/models,P3,.pm,1.57,0.3484
Model,IntelAI/models,P3,.pl,1.21,0.1329
Model,IntelAI/models,P3,.xml,1.01,0.0416
Model,IntelAI/models,P3,.rst,0.84,0.0085
Model,IntelAI/models,P3,.Debian.1,0.47,0.013
Model,IntelAI/models,P3,none,1.26,0.2723
Model,IntelAI/models,P3,.Debian.1,0.52,0.0399
Model,IntelAI/models,P3,.crt,0.5,0.0276
Model,IntelAI/models,P3,.pm,0.47,0.0284
Model,IntelAI/models,P3,.py,0.08,0.0301
Model,IntelAI/models,P3,.json,0.06,0.0009
Model,alexandrainst/danlp,P1,.tfm,17.25,2.4459
Model,alexandrainst/danlp,P1,.vf,6.71,0.2164
Model,alexandrainst/danlp,P1,.svg,5.77,0.7887
Model,alexandrainst/danlp,P1,none,4.85,0.5948
Model,alexandrainst/danlp,P1,.pfb,1.92,3.3461
Model,alexandrainst/danlp,P1,.mf,1.77,0.2181
