Topic,Repos,Tag,TagID,Metrics,composition,total
model,ultralytics/yolov5,v1.0,0,Dependencies,50.0,10
model,ultralytics/yolov5,v1.0,0,Permissions,0.0,0
model,ultralytics/yolov5,v1.0,0,Environment,5.0,1
model,ultralytics/yolov5,v1.0,0,Build/Execute,40.0,8
model,ultralytics/yolov5,v1.0,0,Filesystem,5.0,1
model,ultralytics/yolov5,v2.0,1,Dependencies,50.0,10
model,ultralytics/yolov5,v2.0,1,Permissions,0.0,0
model,ultralytics/yolov5,v2.0,1,Environment,5.0,1
model,ultralytics/yolov5,v2.0,1,Build/Execute,40.0,8
model,ultralytics/yolov5,v2.0,1,Filesystem,5.0,1
model,ultralytics/yolov5,v3.0,2,Dependencies,50.0,10
model,ultralytics/yolov5,v3.0,2,Permissions,0.0,0
model,ultralytics/yolov5,v3.0,2,Environment,5.0,1
model,ultralytics/yolov5,v3.0,2,Build/Execute,40.0,8
model,ultralytics/yolov5,v3.0,2,Filesystem,5.0,1
model,ultralytics/yolov5,v3.1,3,Dependencies,50.0,10
model,ultralytics/yolov5,v3.1,3,Permissions,0.0,0
model,ultralytics/yolov5,v3.1,3,Environment,5.0,1
model,ultralytics/yolov5,v3.1,3,Build/Execute,40.0,8
model,ultralytics/yolov5,v3.1,3,Filesystem,5.0,1
model,ultralytics/yolov5,v4.0,4,Dependencies,50.0,10
model,ultralytics/yolov5,v4.0,4,Permissions,0.0,0
model,ultralytics/yolov5,v4.0,4,Environment,5.0,1
model,ultralytics/yolov5,v4.0,4,Build/Execute,40.0,8
model,ultralytics/yolov5,v4.0,4,Filesystem,5.0,1
model,ultralytics/yolov5,v5.0,5,Dependencies,50.0,10
model,ultralytics/yolov5,v5.0,5,Permissions,0.0,0
model,ultralytics/yolov5,v5.0,5,Environment,5.0,1
model,ultralytics/yolov5,v5.0,5,Build/Execute,40.0,8
model,ultralytics/yolov5,v5.0,5,Filesystem,5.0,1
model,ultralytics/yolov5,v6.0,6,Dependencies,50.0,10
model,ultralytics/yolov5,v6.0,6,Permissions,0.0,0
model,ultralytics/yolov5,v6.0,6,Environment,5.0,1
model,ultralytics/yolov5,v6.0,6,Build/Execute,40.0,8
model,ultralytics/yolov5,v6.0,6,Filesystem,5.0,1
model,qubvel/segmentation_models.pytorch,v0.0.1,0,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.1,0,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.1,0,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.1,0,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.1,0,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.2,1,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.2,1,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.2,1,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.2,1,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.2,1,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.3,2,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.3,2,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.3,2,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.0.3,2,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.0.3,2,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,V0.1.0,3,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,V0.1.0,3,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,V0.1.0,3,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,V0.1.0,3,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,V0.1.0,3,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.1,4,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.1,4,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.1,4,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.1,4,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.1,4,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.2,5,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.2,5,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.2,5,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.2,5,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.2,5,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.3,6,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.3,6,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.3,6,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.1.3,6,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.1.3,6,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.0,7,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.2.0,7,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.0,7,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.0,7,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.2.0,7,Filesystem,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.1,8,Dependencies,50.0,4
model,qubvel/segmentation_models.pytorch,v0.2.1,8,Permissions,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.1,8,Environment,0.0,0
model,qubvel/segmentation_models.pytorch,v0.2.1,8,Build/Execute,50.0,4
model,qubvel/segmentation_models.pytorch,v0.2.1,8,Filesystem,0.0,0
model,araffin/rl-baselines-zoo,v0.1,0,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v0.1,0,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v0.1,0,Environment,0.0,0
model,araffin/rl-baselines-zoo,v0.1,0,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v0.1,0,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v0.2,1,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v0.2,1,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v0.2,1,Environment,0.0,0
model,araffin/rl-baselines-zoo,v0.2,1,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v0.2,1,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v0.3,2,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v0.3,2,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v0.3,2,Environment,0.0,0
model,araffin/rl-baselines-zoo,v0.3,2,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v0.3,2,Filesystem,13.04,3
model,araffin/rl-baselines-zoo,v0.4,3,Dependencies,47.83,11
model,araffin/rl-baselines-zoo,v0.4,3,Permissions,0.0,0
model,araffin/rl-baselines-zoo,v0.4,3,Environment,0.0,0
model,araffin/rl-baselines-zoo,v0.4,3,Build/Execute,39.13,9
model,araffin/rl-baselines-zoo,v0.4,3,Filesystem,13.04,3
