Topic,Repos,Tag,TagID,Metrics,composition,total
AutoML,microsoft/nni,v0.1,0,Dependencies,38.64,34
AutoML,microsoft/nni,v0.1,0,Permissions,0.0,0
AutoML,microsoft/nni,v0.1,0,Environment,0.0,0
AutoML,microsoft/nni,v0.1,0,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.1,0,Filesystem,21.59,19
AutoML,microsoft/nni,v0.2,1,Dependencies,38.64,34
AutoML,microsoft/nni,v0.2,1,Permissions,0.0,0
AutoML,microsoft/nni,v0.2,1,Environment,0.0,0
AutoML,microsoft/nni,v0.2,1,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.2,1,Filesystem,21.59,19
AutoML,microsoft/nni,v0.3.0,2,Dependencies,38.64,34
AutoML,microsoft/nni,v0.3.0,2,Permissions,0.0,0
AutoML,microsoft/nni,v0.3.0,2,Environment,0.0,0
AutoML,microsoft/nni,v0.3.0,2,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.3.0,2,Filesystem,21.59,19
AutoML,microsoft/nni,v0.3.1,3,Dependencies,38.64,34
AutoML,microsoft/nni,v0.3.1,3,Permissions,0.0,0
AutoML,microsoft/nni,v0.3.1,3,Environment,0.0,0
AutoML,microsoft/nni,v0.3.1,3,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.3.1,3,Filesystem,21.59,19
AutoML,microsoft/nni,v0.3.2,4,Dependencies,38.64,34
AutoML,microsoft/nni,v0.3.2,4,Permissions,0.0,0
AutoML,microsoft/nni,v0.3.2,4,Environment,0.0,0
AutoML,microsoft/nni,v0.3.2,4,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.3.2,4,Filesystem,21.59,19
AutoML,microsoft/nni,v0.3.3,5,Dependencies,38.64,34
AutoML,microsoft/nni,v0.3.3,5,Permissions,0.0,0
AutoML,microsoft/nni,v0.3.3,5,Environment,0.0,0
AutoML,microsoft/nni,v0.3.3,5,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.3.3,5,Filesystem,21.59,19
AutoML,microsoft/nni,v0.3.4,6,Dependencies,38.64,34
AutoML,microsoft/nni,v0.3.4,6,Permissions,0.0,0
AutoML,microsoft/nni,v0.3.4,6,Environment,0.0,0
AutoML,microsoft/nni,v0.3.4,6,Build/Execute,39.77,35
AutoML,microsoft/nni,v0.3.4,6,Filesystem,21.59,19
