Topic,Repos,Tag,TagID,Metrics,composition,total
tool,JaidedAI/EasyOCR,v1.1,0,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,v1.1,0,Permissions,0.0,0
tool,JaidedAI/EasyOCR,v1.1,0,Environment,0.0,0
tool,JaidedAI/EasyOCR,v1.1,0,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,v1.1,0,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,pre-v1.1.6,1,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,pre-v1.1.6,1,Permissions,0.0,0
tool,JaidedAI/EasyOCR,pre-v1.1.6,1,Environment,0.0,0
tool,JaidedAI/EasyOCR,pre-v1.1.6,1,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,pre-v1.1.6,1,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,v1.1.7,2,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,v1.1.7,2,Permissions,0.0,0
tool,JaidedAI/EasyOCR,v1.1.7,2,Environment,0.0,0
tool,JaidedAI/EasyOCR,v1.1.7,2,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,v1.1.7,2,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,v1.1.8,3,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,v1.1.8,3,Permissions,0.0,0
tool,JaidedAI/EasyOCR,v1.1.8,3,Environment,0.0,0
tool,JaidedAI/EasyOCR,v1.1.8,3,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,v1.1.8,3,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,1.1.10,4,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,1.1.10,4,Permissions,0.0,0
tool,JaidedAI/EasyOCR,1.1.10,4,Environment,0.0,0
tool,JaidedAI/EasyOCR,1.1.10,4,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,1.1.10,4,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,v1.2,5,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,v1.2,5,Permissions,0.0,0
tool,JaidedAI/EasyOCR,v1.2,5,Environment,0.0,0
tool,JaidedAI/EasyOCR,v1.2,5,Build/Execute,23.53,4
tool,JaidedAI/EasyOCR,v1.2,5,Filesystem,23.53,4
tool,JaidedAI/EasyOCR,1.2.2,6,Dependencies,52.94,9
tool,JaidedAI/EasyOCR,1.2.2,6,Permissions,0.0,0
tool,JaidedAI/EasyOCR,1.2.2,6,Environment,0.0,0
tool,JaidedAI/EasyOCR,1.2.2,6,Build/Execute,23.53,4
